Rock type,Sample,SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5
Bt tonalite ,QH29,62·74,0·75,17·47,4·25,0·18,1·91,6·40,4·50,1·61,0·18
foliated Hbl–Bt granodiorite ,QH56,60·50,0·75,17·31,6·46,0·20,3·25,5·89,3·35,2·14,0·15
Bt tonalite ,QH70,60·32,0·66,17·36,5·16,0·22,2·10,7·30,5·05,1·56,0·27
Hbl–Bt granodiorite ,QH76,64·79,0·64,16·87,4·49,0·21,1·72,4·80,3·79,2·53,0·15
Bt tonalite ,QH107,68·2,0·45,16·48,2·98,0·18,1·16,3·89,3·79,2·69,0·18
Bt tonalite ,QH146,62·10,0·73,17·94,4·28,0·15,2·11,6·89,4·12,1·49,0·20
foliated Bt tonalite ,QH170,56·25,1·30,17·72,7·69,0·27,4·18,7·15,3·24,1·91,0·29
Bt tonalite ,QH214,62·73,0·69,17·28,5·07,0·19,1·83,5·83,4·43,1·78,0·17
Bt tonalite ,QH217,63·14,0·78,17·59,4·60,0·18,2·36,6·05,3·35,1·75,0·19
Or-phyric monzogranite ,QH13,71·92,0·36,14·65,2·38,0·16,0·66,2·49,3·44,3·78,0·17
Mc-phyric monzogranite ,QH34,72·09,0·41,14·44,2·63,0·10,0·80,2·87,3·86,2·62,0·17
Or-phyric monzogranite ,QH45,67·55,0·45,16·55,3·19,0·10,1·10,3·64,3·85,3·43,0·13
Mc-phyric monzogranite ,QH53,72·12,0·18,15·27,1·70,0·10,0·37,1·83,3·86,4·48,0·08
Kfs-phyric monzogranite ,QH126,75·59,0·37,11·93,2·97,0·14,1·07,1·74,2·85,3·23,0·12
Kfs-phyric monzogranite ,QH130,73·51,0·15,13·50,1·73,0·12,0·37,1·43,4·28,4·83,0·07
Mc-phyric monzogranite ,QH133,72·23,0·32,13·75,2·34,0·13,0·83,2·05,3·55,4·68,0·10
Mc-phyric monzogranite ,QH148,70·82,0·35,15·20,2·20,0·16,0·80,2·51,3·99,3·86,0·12
Or- aphyric monzogranite ,QH239,69·85,0·40,15·56,2·77,0·19,1·20,3·17,3·11,3·65,0·09
Mc-phyric monzogranite ,QH241,69·03,0·40,15·78,2·54,0·19,0·99,2·54,3·60,4·81,0·13
Or-bearing Bt granite ,QH89,73·30,0·18,14·73,1·89,0·11,0·41,1·51,3·59,4·22,0·07
Or-bearing Bt granite ,QH127,73·83,0·16,14·04,1·83,0·10,0·37,1·42,3·76,4·43,0·06
Pl-phyric Hbl–Bt diorite ,QM50,55·61,0·79,16·59,7·13,0·23,6·12,8·65,2·61,2·12,0·15
Hbl-phyric diorite ,QM109,53·93,1·31,17·07,7·63,0·21,6·85,8·67,2·62,1·57,0·14
Pl-phyric diorite ,QM138,55·27,0·74,15·62,6·86,0·22,8·22,8·39,2·76,1·75,0·16
Bt-phyric diorite ,QM197,53·06,1·01,17·25,8·73,0·24,6·63,9·87,1·44,1·59,0·17
Pl-phyric Hbl–Bt diorite ,QM213,52·07,0·99,17·08,8·45,0·21,7·65,10·49,1·55,1·34,0·17
Pl-phyric diorite ,QM228,56·78,1·25,17·44,7·34,0·21,4·27,7·15,3·35,1·87,0·34
Pl-phyric diorite ,QM236,55·44,0·83,16·88,7·10,0·26,6·31,9·01,1·96,2·07,0·15
Hbl gabbro ,QM77,51·58,0·50,10·31,9·73,0·20,15·98,8·96,1·36,1·28,0·10
Hbl gabbro ,QM119,49·69,0·63,8·84,11·86,0·20,20·2,6·87,0·82,0·74,0·14
Hbl gabbro ,QM144,51·18,0·49,11·53,8·28,0·19,14·31,12·4,1·21,0·33,0·07
hornblendite ,QUM5,47·75,0·65,9·26,12·21,0·20,21·97,7·19,0·54,0·09,0·13
Ol–Phl hornblendite ,QUM6,45·74,0·33,7·11,12·30,0·19,28·70,4·13,0·67,0·76,0·06
Ol–Phl hornblendite ,QUM7(1),45·34,0·32,7·10,12·72,0·18,28·90,4·03,0·84,0·51,0·07
Ol–Phl hornblendite ,QUM8,44·50,0·33,7·01,12·11,0·23,30·49,4·92,0·27,0·08,0·06
Ol–Phl hornblendite ,QUM64,46·18,0·47,7·69,12·07,0·18,28·97,3·61,0·22,0·52,0·09
hornblendite ,QUM68,46·72,0·64,9·78,11·67,0·20,22·08,8·27,0·35,0·13,0·15
Ol–Phl hornblendite ,QUM71,46·86,0·44,7·48,11·80,0·19,28·30,3·65,0·63,0·53,0·12
Ol–Phl hornblendite ,QUM226,36·36,0·29,6·58,27·22,0·11,25·18,3·44,0·35,0·43,0·03